observed_utc,gw,source,team_abbr,opponent_abbr,status,formation,row,slot,player,short,kickoff_text
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,IPS,EVE,predicted,4-2-3-1,2,4,Jacob Greaves,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,IPS,EVE,predicted,4-2-3-1,2,5,Leif Davis,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,IPS,EVE,predicted,4-2-3-1,3,6,Sasa Lukic,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,IPS,EVE,predicted,4-2-3-1,3,7,Exequiel Palacios,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,IPS,EVE,predicted,4-2-3-1,4,8,Issahaku Fatawu,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,IPS,EVE,predicted,4-2-3-1,4,9,Julio Enciso,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,IPS,EVE,predicted,4-2-3-1,4,10,Jack Clarke,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,IPS,EVE,predicted,4-2-3-1,5,11,Zian Flemming,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,NEW,HUL,predicted,4-2-3-1,1,1,Lukas Hornicek,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,NEW,HUL,predicted,4-2-3-1,2,2,Amar Dedić,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,NEW,HUL,predicted,4-2-3-1,2,3,Malick Thiaw,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,NEW,HUL,predicted,4-2-3-1,2,4,Sven Botman,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,NEW,HUL,predicted,4-2-3-1,2,5,Lewis Hall,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,NEW,HUL,predicted,4-2-3-1,3,6,Sean Steur,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,NEW,HUL,predicted,4-2-3-1,3,7,Lewis Miley,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,NEW,HUL,predicted,4-2-3-1,4,8,Jacob Murphy,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,NEW,HUL,predicted,4-2-3-1,4,9,M. Fernandez-Pardo,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,NEW,HUL,predicted,4-2-3-1,4,10,Harvey Barnes,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,NEW,HUL,predicted,4-2-3-1,5,11,Yoane Wissa,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,HUL,NEW,predicted,5-4-1,1,1,K. Tzolakis,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,HUL,NEW,predicted,5-4-1,2,2,Lewie Coyle,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,HUL,NEW,predicted,5-4-1,2,3,Semi Ajayi,,Saturday 19 September 18:00
2026-09-16T05:09:27.680554+00:00,5,sportsgambler,HUL,NEW,predicted,5-4-1,2,4,John Egan,,Saturday 19 September 18:00
