season,gw,position,player,team,opponent,home,prediction
2025-26,4,DEF,Tyrick Mitchell,Crystal Palace,,True,3.240938663482666
2025-26,4,DEF,Trai Hume,Sunderland,,False,3.1825857162475586
2025-26,4,DEF,Michael Kayode,Brentford,,True,3.114352226257324
2025-26,4,DEF,Pedro Porro Sauceda,Spurs,,False,3.1061160564422607
2025-26,4,DEF,JurriÃ«n Timber,Arsenal,,True,3.096825122833252
2025-26,4,DEF,Reinildo Mandava,Sunderland,,False,3.0940985679626465
2025-26,4,DEF,Daniel MuÃ±oz MejÃ­a,Crystal Palace,,True,3.09200119972229
2025-26,4,DEF,Joachim Andersen,Fulham,,True,3.0825510025024414
2025-26,4,DEF,Quilindschy Hartman,Burnley,,True,3.0799560546875
2025-26,4,DEF,Kenny Tete,Fulham,,True,3.0729851722717285
2025-26,4,DEF,Djed Spence,Spurs,,False,3.0626986026763916
2025-26,4,DEF,Virgil van Dijk,Liverpool,,False,3.0329461097717285
2025-26,4,DEF,Nordi Mukiele,Sunderland,,False,3.0326857566833496
2025-26,4,DEF,Pascal Struijk,Leeds,,False,3.0311279296875
2025-26,4,DEF,Cristian Romero,Spurs,,False,3.0111141204833984
2025-26,4,DEF,Riccardo Calafiori,Arsenal,,True,3.010256767272949
2025-26,4,DEF,Ibrahima KonatÃ©,Liverpool,,False,3.0077924728393555
2025-26,4,DEF,Ezri Konsa Ngoyo,Aston Villa,,False,2.9862558841705322
2025-26,4,DEF,Hugo Bueno LÃ³pez,Wolves,,False,2.964360237121582
2025-26,4,DEF,Marcos Senesi BarÃ³n,Bournemouth,,True,2.9629218578338623
2025-26,4,DEF,Kieran Trippier,Newcastle,,True,2.9607977867126465
2025-26,4,DEF,Matty Cash,Aston Villa,,False,2.95481276512146
2025-26,4,DEF,Emmanuel Agbadou,Wolves,,False,2.9426376819610596
2025-26,4,DEF,Maxence Lacroix,Crystal Palace,,True,2.9368667602539062
2025-26,4,DEF,Gabriel Gudmundsson,Leeds,,False,2.929875135421753
2025-26,4,DEF,Micky van de Ven,Spurs,,False,2.924610137939453
2025-26,4,DEF,Dan Burn,Newcastle,,True,2.9222660064697266
2025-26,4,DEF,Adrien Truffert,Bournemouth,,True,2.9218578338623047
2025-26,4,DEF,Trevoh Chalobah,Chelsea,,False,2.9180784225463867
2025-26,4,DEF,Tino Livramento,Newcastle,,True,2.9151289463043213
2025-26,4,DEF,Matthijs de Ligt,Man Utd,,False,2.8917319774627686
2025-26,4,DEF,Chris Richards,Crystal Palace,,True,2.880223274230957
2025-26,4,DEF,Kyle Walker-Peters,West Ham,,True,2.8729918003082275
2025-26,4,DEF,Marc GuÃ©hi,Crystal Palace,,True,2.8727455139160156
2025-26,4,DEF,Neco Williams,Nott'm Forest,,False,2.866250514984131
2025-26,4,DEF,Jake O'Brien,Everton,,True,2.8660407066345215
2025-26,4,DEF,Patrick Dorgu,Man Utd,,False,2.8618323802948
2025-26,4,DEF,Nathan Collins,Brentford,,True,2.854281425476074
2025-26,4,DEF,Lucas Digne,Aston Villa,,False,2.84979510307312
2025-26,4,DEF,Fabian SchÃ¤r,Newcastle,,True,2.8491671085357666
2025-26,4,DEF,Tyrone Mings,Aston Villa,,False,2.8318686485290527
2025-26,4,DEF,James Tarkowski,Everton,,True,2.823486089706421
2025-26,4,DEF,Omar Alderete,Sunderland,,False,2.8210015296936035
2025-26,4,DEF,Toti Gomes,Wolves,,False,2.8157224655151367
2025-26,4,DEF,Michael Keane,Everton,,True,2.815423011779785
2025-26,4,DEF,Hjalmar Ekdal,Burnley,,True,2.8097734451293945
2025-26,4,DEF,Luke Shaw,Man Utd,,False,2.8020753860473633
2025-26,4,DEF,Jayden Bogle,Leeds,,False,2.7978720664978027
2025-26,4,DEF,Lamare Bogarde,Aston Villa,,False,2.7977747917175293
2025-26,4,DEF,Maxime EstÃ¨ve,Burnley,,True,2.780269145965576
2025-26,4,DEF,Abdukodir Khusanov,Man City,,True,2.772047996520996
2025-26,4,DEF,Calvin Bassey,Fulham,,True,2.75703763961792
2025-26,4,DEF,Veljko Milosavljevic,Bournemouth,,True,2.7366013526916504
2025-26,4,DEF,JoÃ«l Veltman,Brighton,,False,2.731790542602539
2025-26,4,DEF,Kyle Walker,Burnley,,True,2.6975131034851074
2025-26,4,DEF,Tosin Adarabioyo,Chelsea,,False,2.6923763751983643
2025-26,4,DEF,Sepp van den Berg,Brentford,,True,2.690091133117676
2025-26,4,DEF,Lewis Dunk,Brighton,,False,2.623297691345215
2025-26,4,DEF,RÃºben dos Santos Gato Alves Dias,Man City,,True,2.6148061752319336
2025-26,4,DEF,Cristhian Mosquera,Arsenal,,True,2.614657163619995
2025-26,4,DEF,El Hadji Malick Diouf,West Ham,,True,2.610591411590576
2025-26,4,DEF,JoÅ¡ko Gvardiol,Man City,,True,2.602614402770996
2025-26,4,DEF,Joe Rodon,Leeds,,False,2.5983591079711914
2025-26,4,DEF,Keane Lewis-Potter,Brentford,,True,2.586516857147217
2025-26,4,DEF,Nico O'Reilly,Man City,,True,2.555298328399658
2025-26,4,DEF,Rodrigo Martins Gomes,Wolves,,False,2.5417261123657227
2025-26,4,DEF,James Hill,Bournemouth,,True,2.5293660163879395
2025-26,4,DEF,Konstantinos Mavropanos,West Ham,,True,2.5228726863861084
2025-26,4,DEF,Jan Paul van Hecke,Brighton,,False,2.510511875152588
2025-26,4,DEF,Gabriel dos Santos MagalhÃ£es,Arsenal,,True,2.5017337799072266
2025-26,4,DEF,Ferdi KadÄ±oÄŸlu,Brighton,,False,2.487243175506592
2025-26,4,DEF,Maximilian Kilman,West Ham,,True,2.4860310554504395
2025-26,4,DEF,Marc Cucurella Saseta,Chelsea,,False,2.4523677825927734
2025-26,4,DEF,Ladislav KrejcÃ­,Wolves,,False,2.4154608249664307
2025-26,4,DEF,Reece James,Chelsea,,False,2.396829843521118
2025-26,4,DEF,Murillo Costa dos Santos,Nott'm Forest,,False,2.3417861461639404
2025-26,4,DEF,Nikola MilenkoviÄ‡,Nott'm Forest,,False,2.3381762504577637
2025-26,4,DEF,Leny Yoro,Man Utd,,False,2.303934097290039
2025-26,4,DEF,Andrew Robertson,Liverpool,,False,2.219393014907837
2025-26,4,DEF,Maxim De Cuyper,Brighton,,False,2.201317548751831
2025-26,4,DEF,Milos Kerkez,Liverpool,,False,2.0851612091064453
2025-26,4,DEF,Ola Aina,Nott'm Forest,,False,2.0026533603668213
2025-26,4,DEF,Ethan Pinnock,Brentford,,True,1.9762037992477417
2025-26,4,DEF,Diogo Dalot Teixeira,Man Utd,,False,1.9328806400299072
2025-26,4,DEF,Jackson Tchatchoua,Wolves,,False,1.9223506450653076
2025-26,4,DEF,Malo Gusto,Chelsea,,False,1.8888990879058838
2025-26,4,DEF,Rayan AÃ¯t-Nouri,Man City,,True,1.8626329898834229
2025-26,4,DEF,Santiago Ignacio Bueno,Wolves,,False,1.8203601837158203
2025-26,4,DEF,David MÃ¸ller Wolfe,Wolves,,False,1.817845344543457
2025-26,4,DEF,Felipe Rodrigues da Silva,Nott'm Forest,,False,1.8010942935943604
2025-26,4,DEF,Noussair Mazraoui,Man Utd,,False,1.7938790321350098
2025-26,4,DEF,Ian Maatsen,Aston Villa,,False,1.7937443256378174
2025-26,4,DEF,Rico Lewis,Man City,,True,1.7708795070648193
2025-26,4,DEF,BafodÃ© DiakitÃ©,Bournemouth,,True,1.7578386068344116
2025-26,4,DEF,Destiny Udogie,Spurs,,False,1.7266027927398682
2025-26,4,DEF,Wesley Fofana,Chelsea,,False,1.7265541553497314
2025-26,4,DEF,Sven Botman,Newcastle,,True,1.7043447494506836
2025-26,4,DEF,Benjamin White,Arsenal,,True,1.6990094184875488
2025-26,4,DEF,John Stones,Man City,,True,1.6906081438064575
2025-26,4,DEF,Yerson Mosquera Valdelamar,Wolves,,False,1.670066237449646
2025-26,4,DEF,William Saliba,Arsenal,,True,1.6696339845657349
2025-26,4,DEF,Timothy Castagne,Fulham,,True,1.6542351245880127
2025-26,4,DEF,Josh Acheampong,Chelsea,,False,1.6282398700714111
2025-26,4,DEF,Adam Smith,Bournemouth,,True,1.6166462898254395
2025-26,4,DEF,Antonee Robinson,Fulham,,True,1.5859918594360352
2025-26,4,DEF,Matheus Nunes,Man City,,True,1.5692696571350098
2025-26,4,DEF,Pau Torres,Aston Villa,,False,1.5505698919296265
2025-26,4,DEF,Harry Maguire,Man Utd,,False,1.5084185600280762
2025-26,4,DEF,Nathan AkÃ©,Man City,,True,1.4893985986709595
2025-26,4,DEF,Kristoffer Ajer,Brentford,,True,1.4583256244659424
2025-26,4,DEF,Daniel Ballard,Sunderland,,False,1.4530291557312012
2025-26,4,DEF,Joe Worrall,Burnley,,True,1.4468460083007812
2025-26,4,DEF,Nayef Aguerd,West Ham,,True,1.4331830739974976
2025-26,4,DEF,NicolÃ² Savona,Nott'm Forest,,False,1.4288833141326904
2025-26,4,DEF,Jeremie Frimpong,Liverpool,,False,1.4282090663909912
2025-26,4,DEF,Oliver Sonne,Burnley,,True,1.3990362882614136
2025-26,4,DEF,Conor Bradley,Liverpool,,False,1.3761000633239746
2025-26,4,DEF,Rico Henry,Brentford,,True,1.340459942817688
2025-26,4,DEF,Jenson Seelt,Sunderland,,False,1.321810245513916
2025-26,4,DEF,Myles Lewis-Skelly,Arsenal,,True,1.3100237846374512
2025-26,4,DEF,Aaron Wan-Bissaka,West Ham,,True,1.2597236633300781
2025-26,4,DEF,Ki-Jana Hoever,Wolves,,False,1.203627347946167
2025-26,4,DEF,Joe Gomez,Liverpool,,False,1.1937706470489502
2025-26,4,DEF,Lewis Hall,Newcastle,,True,1.1408202648162842
2025-26,4,DEF,Matt Doherty,Wolves,,False,1.119356632232666
2025-26,4,DEF,Jorge Cuenca Barreno,Fulham,,True,1.1167548894882202
2025-26,4,DEF,Kevin Danso,Spurs,,False,1.0701078176498413
2025-26,4,DEF,Aaron Hickey,Brentford,,True,0.9736425876617432
2025-26,4,DEF,Vitalii Mykolenko,Everton,,True,0.913769006729126
2025-26,4,DEF,Jorrel Hato,Chelsea,,False,0.8793886303901672
2025-26,4,DEF,Nathaniel Clyne,Crystal Palace,,True,0.7076436281204224
2025-26,4,DEF,Lutsharel Geertruida,Sunderland,,False,0.6952469348907471
2025-26,4,DEF,Jean-Clair Todibo,West Ham,,True,0.673384428024292
2025-26,4,DEF,Victor LindelÃ¶f,Aston Villa,,False,0.6572273969650269
2025-26,4,DEF,Ayden Heaven,Man Utd,,False,0.633720874786377
2025-26,4,DEF,Julio Soler Barreto,Bournemouth,,True,0.5911206007003784
2025-26,4,DEF,James Justin,Leeds,,False,0.5873823761940002
2025-26,4,DEF,Diego Coppola,Brighton,,False,0.5692397356033325
2025-26,4,DEF,SÃ©amus Coleman,Everton,,True,0.5692397356033325
2025-26,4,DEF,Malick Thiaw,Newcastle,,True,0.5598245859146118
2025-26,4,DEF,Sam Byram,Leeds,,False,0.5382294654846191
